Book title,average_rating
The Left Hand of Darkness,4.05
"The Black Company (The Chronicles of the Black Company, #1)",3.96
The 4-Hour Workweek,3.84
"Johannes Cabal the Necromancer (Johannes Cabal, #1)",3.94
Memórias Póstumas de Brás Cubas,4.23
"Jewels of the Sun (Gallaghers of Ardmore, #1)",4.22
"Big Red (Big Red, #1)",4.11
An Ideal Husband,4.03
"The Dark Tower (The Dark Tower, #7)",4.27
Nausea,3.91
Fences (The Century Cycle #6),3.84
"Asterix the Gaul (Asterix, #1)",4.18
Have a Little Faith: a True Story,4.16
"Under the Never Sky (Under the Never Sky, #1)",4.01
The Catastrophic History of You and Me,4.04
The Last Boleyn,4.04
"The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency, #4)",3.99
"The Neighbor (Detective D.D. Warren, #3)",4.08
"Bearing an Hourglass (Incarnations of Immortality, #2)",3.94
The Screwtape Letters,4.21
Don Quixote,3.85
"Tricky Twenty-Two (Stephanie Plum, #22)",3.92
الحرافيش,4.34
The Glassblower,3.87
What the Bleep Do We Know!?: Discovering the Endless Possibilities for Altering Your Everyday Reality,4.25
"The Lost Stories (Ranger's Apprentice, #11)",4.27
"Vampire Mountain (Cirque Du Freak, #4)",4.16
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,4.09
The Shock Doctrine: The Rise of Disaster Capitalism,4.22
"Stranger Child (DCI Tom Douglas, #4)",4.18
"Ballet Shoes (Shoes, #1)",4.06
"Cardcaptor Sakura: Master of the Clow, Vol. 1 (Cardcaptor Sakura, #7)",4.34
Fool,3.96
"Lover Unbound (Black Dagger Brotherhood, #5)",4.33
V for Vendetta,4.25
"A Knight of the Word (Word & Void, #2)",4.04
Zodiac,3.89
"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",4.25
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.04
"Passion (Fallen, #3)",3.89
"Vanish (Rizzoli & Isles, #5)",4.13
Riptide,3.93
"The Crown Conspiracy (The Riyria Revelations, #1)",4.15
"Cibola Burn (The Expanse, #4)",4.12
Mr. Perfect,4.07
People of the Book,4.0
My Life in France,4.16
Portrait in Sepia,3.93
Dispatches,4.24
Eugene Onegin,4.08
"Hard Limit (Hacker, #4)",4.34
"The Scorch Trials (Maze Runner, #2)",3.93
Jesus Calling: Enjoying Peace in His Presence,4.54
The Little Mermaid,4.36
The Little Mermaid,4.02
"Memory in Death (In Death, #22)",4.31
"Book of Shadows (Sweep, #1)",4.04
"Rock Bottom (Tristan & Danika, #2)",4.46
"Red Mars (Mars Trilogy, #1)",3.84
Gone Girl,4.03
"Heaven (Halo, #3)",3.91
"The Whole Truth (A. Shaw, #1)",4.0
"Blue Dahlia (In the Garden, #1)",4.11
Cloudy With a Chance of Meatballs,4.15
Half of a Yellow Sun,4.28
"Ender in Exile (Ender's Saga, #1.2)",3.89
Peace Child: An Unforgettable Story of Primitive Jungle Treachery in the 20th Century,4.31
"Beyond the Shadows (Night Angel, #3)",4.29
"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",4.29
"The Invaders (Brotherband Chronicles, #2)",4.4
A Midsummer's Nightmare,3.83
I Wrote This For You,4.17
"Oryx and Crake (MaddAddam, #1)",4.0
The Endurance: Shackleton's Legendary Antarctic Expedition,4.31
Red Phoenix (Red Phoenix #1),3.98
Ready Player One,4.31
The Bane Chronicles,4.2
"Elven Star (The Death Gate Cycle, #2)",3.98
"Kushiel's Avatar (Phèdre's Trilogy, #3)",4.37
"World Without End (The Kingsbridge Series, #2)",4.23
"The City of Ember (Book of Ember, #1)",3.85
"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness",4.24
"Gregor and the Prophecy of Bane (Underland Chronicles, #2)",4.17
"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",4.29
"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",4.41
A Chair for My Mother,4.2
"Naked in Death (In Death, #1)",4.13
The Tao of Pooh,4.01
"Third Grave Dead Ahead (Charley Davidson, #3)",4.39
"Hogwarts: An Incomplete and Unreliable Guide (Pottermore Presents, #3)",4.21
Kürk Mantolu Madonna,4.49
"Anna Dressed in Blood (Anna, #1)",3.96
Bird by Bird: Some Instructions on Writing and Life,4.22
Desert Solitaire,4.22
"The Shop on Blossom Street (Blossom Street, #1)",4.04
"Seduction in Death (In Death, #13)",4.3
"Going Clear: Scientology, Hollywood, and the Prison of Belief",4.02
"Transmetropolitan, Vol. 5: Lonely City (Transmetropolitan, #5)",4.4
"Frostbite (Vampire Academy, #2)",4.3
Smile,4.19
"Night Prey (Lucas Davenport, #6)",4.14
"A Year Down Yonder (A Long Way from Chicago, #2)",4.1
"Alex Cross's Trial (Alex Cross, #15)",3.92
Stellaluna,4.22
Planet of the Apes,3.91
The Price of Salt,3.93
"Flight of the Old Dog (Patrick McLanahan, #1)",4.08
"Nobody's Baby But Mine (Chicago Stars, #3)",4.06
"Ilium (Ilium, #1)",4.01
September,4.12
In Search of Schrödinger's Cat: Quantum Physics and Reality,4.0
Same Kind of Different as Me,4.21
"Lost & Found (Lost & Found, #1)",4.13
"16 Lighthouse Road (Cedar Cove, #1)",4.08
"Faithless (Grant County, #5)",4.11
Rosemary's Baby,3.96
Night School,3.96
Basket Case,3.81
The Drama of the Gifted Child: The Search for the True Self,4.09
Such a Rush,3.84
"Sailor Moon, #1 (Sailor Moon, #1)",4.29
NurtureShock: New Thinking About Children,4.04
"Twelve Sharp (Stephanie Plum, #12)",4.14
"Robin Hood, The Prince of Thieves",4.0
The Divan,4.63
The Story of Beautiful Girl,3.92
"Persuader (Jack Reacher, #7)",4.09
"Kiss of Crimson (Midnight Breed, #2)",4.17
"The Silkworm (Cormoran Strike, #2)",4.03
Succulent Wild Woman,4.12
"Prince of Wolves (The Grey Wolves, #1)",4.06
Envy,4.15
Brown Girl Dreaming,4.11
Blood Memory,4.09
Four Past Midnight ,3.9
All the King's Men,4.08
"Empire of Ivory (Temeraire, #4)",3.93
The Phantom Tollbooth,4.22
Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,4.26
"Ender's Game, Volume 2: Command School",4.6
"Secret Prey (Lucas Davenport, #9)",4.25
"Three Men in a Boat (Three Men, #1)",3.9
"Grass for His Pillow (Tales of the Otori, #2)",4.01
Between Shades of Gray,4.36
Broken Grace,3.92
رباعيات خيام,4.18
The Secret Life of CeeCee Wilkes,4.09
"Endlessly (Paranormalcy, #3)",3.99
"Bloody Bones (Anita Blake, Vampire Hunter #5)",4.1
"Tokyo Mew Mew, Vol. 1 (Tokyo Mew Mew, #1)",3.95
Men at Arms: The Play,4.39
"The Immortal Highlander (Highlander, #6)",4.34
"Blindsighted (Grant County, #1)",4.1
"My Man Jeeves (Jeeves, #1)",4.13
"The Redeemer (Harry Hole, #6)",4.07
فوضى الحواس,3.83
The Killer Inside Me,3.9
Three Comrades,4.48
"Spark (Elemental, #2)",4.16
"Agents of Light and Darkness (Nightside, #2)",4.0
"Deep Six (Dirk Pitt, #7)",3.88
The Girl You Left Behind,3.95
The Snowman,4.28
"Iced (Fever, #6)",4.13
"The System of the World (The Baroque Cycle, #3)",4.3
Cosmos,4.35
"Loves Music, Loves to Dance",3.89
"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",4.08
"Sweet Home (Sweet Home, #1)",4.05
"Saphirblau (Edelstein-Trilogie, #2)",4.19
"Preacher, Volume 3: Proud Americans",4.27
"The Hedge Knight (The Tales of Dunk and Egg, #1)",4.23
The Republic,3.9
Before I Die,3.84
"Sookie Stackhouse 7-copy Boxed Set (Sookie Stackhouse, #1-7)",4.43
Fantastic Beasts and Where to Find Them,3.95
"Magic Burns (Kate Daniels, #2)",4.33
"The Search (Eve Duncan, #3)",4.14
"Bare Bones (Temperance Brennan, #6)",3.95
Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,3.92
Selected Stories,4.36
Selected Stories,4.16
Inherit the Wind,3.96
The Tale of Mrs. Tiggy-Winkle,4.19
"The Information: A History, a Theory, a Flood",3.98
Consider the Lobster and Other Essays,4.25
"Visions in Death (In Death, #19)",4.33
The Pigeon Finds a Hot Dog!,4.35
"Splendor (Luxe, #4)",3.84
"Red Glove (Curse Workers, #2)",3.98
"Experiencing God: Knowing and Doing the Will of God, Workbook",4.32
Red Sparrow (Red Sparrow Trilogy #1),4.02
"The Wishing Spell (The Land of Stories, #1)",4.21
The Girl with All the Gifts,3.93
On the Fence,4.04
Don't Waste Your Life,4.11
"Unnatural Exposure (Kay Scarpetta, #8)",4.05
The Book of Unknown Americans,3.85
"Addicted to You (Addicted, #1)",3.9
"The Lion (John Corey, #5)",4.22
The Heart of the Matter,3.98
"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",4.08
"Faith of the Fallen (Sword of Truth, #6)",4.11
"Crooked Letter, Crooked Letter",3.82
Tar Baby,3.91
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,4.08
"Kitty Goes to Washington (Kitty Norville, #2)",3.87
True Compass: A Memoir,3.99
The Kissing Hand,4.41
The Song of Achilles,4.27
"Still Life (Chief Inspector Armand Gamache, #1)",3.91
"Desecration (Left Behind, #9)",4.0
"The Poetry of Robert Frost (Collected Poems, Complete & Unabridged)",4.23
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,3.84
"Hana-Kimi, Vol. 1 (Hana-Kimi, #1)",4.16
"Feverborn (Fever, #8)",4.18
The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),3.92
"Olympos (Ilium, #2)",3.93
"Tomorrow, When the War Began (Tomorrow, #1)",4.05
Those Who Save Us,4.12
The Beatles Anthology,4.38
A Series of Unfortunate Events Box: The Complete Wreck (Books 1-13),4.28
The Charterhouse of Parma,3.83
"Eon (The Way, #1)",3.86
"Cards on the Table (Hercule Poirot, #15)",3.9
"Winter (The Lunar Chronicles, #4)",4.49
"Friday Night Bites (Chicagoland Vampires, #2)",4.15
Captains and the Kings,4.11
"The Wedding (Lairds' Fiancées, #2)",4.18
"King's Cage (Red Queen, #3)",4.03
"The Reality Bug (Pendragon, #4)",4.15
Neither Here nor There: Travels in Europe,3.88
"Archangel's Kiss (Guild Hunter, #2)",4.24
Love Warrior,4.1
There Was An Old Lady Who Swallowed A Fly (Classic Books),4.2
Bread and   Wine: A Love Letter to Life Around the Table with Recipes,4.22
"Carpe Corpus (The Morganville Vampires, #6)",4.21
"Library of Souls (Miss Peregrine's Peculiar Children, #3)",4.15
The Berenstain Bears' Trouble at School,4.19
Your Best Life Now: 7 Steps to Living at Your Full Potential,4.0
Just Mercy: A Story of Justice and Redemption,4.58
NOS4A2,4.06
The Lone Ranger and Tonto Fistfight in Heaven,4.09
Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,3.84
"A Long Way from Chicago (A Long Way from Chicago, #1)",3.92
"Body Double (Rizzoli & Isles, #4)",4.16
Secrets of a Charmed Life,4.17
"River God (Ancient Egypt, #1)",4.2
"A Rogue by Any Other Name (The Rules of Scoundrels, #1)",3.95
Hunger,4.09
"A Caress of Twilight (Merry Gentry, #2)",4.05
"Rich Man, Poor Man",4.15
Bonk: The Curious Coupling of Science and Sex,3.83
"Genghis: Birth of an Empire (Conqueror, #1)",4.34
"In Flight (Up in the Air, #1)",4.1
"M is for Malice (Kinsey Millhone, #13)",4.07
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.27
"Mars, Volume 01",4.13
Savage Inequalities: Children in America's Schools,4.23
"To Say Nothing of the Dog (Oxford Time Travel, #2)",4.13
"After the Funeral (Hercule Poirot, #29)",3.84
Stoner,4.28
The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,4.05
The Thousand Autumns of Jacob de Zoet,4.03
Black Beauty,3.94
"Tick Tock (Michael Bennett, #4)",4.03
The Last Sin Eater,4.06
Strip Tease,3.82
Faust,3.97
The Complete Phantom of the Opera,4.29
"The Diamond Age: or, A Young Lady's Illustrated Primer",4.19
"Back on Blossom Street (Blossom Street, #4)",4.14
"The Pretty Committee Strikes Back (The Clique, #5)",3.84
"The Ghost Map: The Story of London's Most Terrifying Epidemic - and How It Changed Science, Cities, and the Modern World",3.91
"Fruits Basket, Vol. 14",4.46
Wit,4.2
"Entice (Need, #3)",4.03
Mean Streak,4.04
Uncle Tom's Cabin,3.83
Absent In The Spring,4.14
"Fated (Alex Verus, #1)",3.89
"Beautiful Stranger (Beautiful Bastard, #2)",4.24
"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",4.0
"The Realms of the Gods (Immortals, #4)",4.32
The Bone Tree,4.18
Rapunzel,4.16
Sleeping Beauty: a Little Golden Book (Disney Princess),4.32
James and the Giant Peach,3.99
The Power of Your Subconscious Mind,4.12
A Bad Case of Stripes,4.24
"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",3.82
"Spider's Bite (Elemental Assassin, #1)",3.87
"Reliquary (Pendergast, #2)",4.0
"The Captive Part II / The Power (The Secret Circle, #2-3)",4.11
"Are You There God? It's Me, Margaret",3.89
"Festive in Death (In Death, #39)",4.26
"Death Note, Vol. 6: Give-and-Take (Death Note, #6)",4.39
"Howl's Moving Castle (Howl's Moving Castle, #1)",4.3
The Tale of Three Trees,4.52
The Hours,3.91
"Dragon's Oath (House of Night Novellas, #1)",4.06
"Enna Burning (The Books of Bayern, #2)",3.97
The Fire Next Time,4.45
The Total Money Makeover: A Proven Plan for Financial Fitness,4.29
Trinity,4.23
We Need to Talk About Kevin,4.07
"The Screaming Staircase (Lockwood & Co., #1)",4.19
"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31
"Bad Girls Don't Die (Bad Girls Don't Die, #1)",4.07
We're Going on a Bear Hunt,4.27
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",4.12
The Miseducation of Cameron Post,3.99
Totto-chan: The Little Girl at the Window,4.3
Three Fates,4.03
"Sin City: Una Dura Despedida, #1 de 3",4.21
The Baker's Daughter,3.94
"Chesapeake Blue (Chesapeake Bay Saga, #4)",4.17
"The Girl In The Ice (Detective Erika Foster, #1)",3.95
"Nigella Express: Good Food, Fast",3.96
"The Wounded Land (The Second Chronicles of Thomas Covenant, #1)",3.96
"Divergent Series Complete Box Set (Divergent, #1-3)",4.32
Barefoot in Paris,4.19
"Night Owl (Night Owl, #1)",4.03
The Hunger Pains: A Parody,3.89
Freckle Juice,3.82
"Transmetropolitan, Vol. 2: Lust for Life (Transmetropolitan, #2)",4.35
"Lover Mine (Black Dagger Brotherhood, #8)",4.41
The Goal: A Process of Ongoing Improvement,4.0
Rain Reign,4.21
A Simple Plan,3.91
"Six's Legacy (Lorien Legacies: The Lost Files, #1)",4.08
The Perks of Being a Wallflower,4.21
The Relatives Came,4.2
"Skin Tight (Mick Stranahan, #1)",3.96
Dreams of a Dark Warrior (Immortals After Dark #11),4.39
"Batman, Volume 2: The City of Owls",4.26
"The Haunted (The Hollow, #2)",4.15
"Goodbye, Columbus and Five Short Stories",3.87
"Falling Kingdoms (Falling Kingdoms, #1)",3.83
"The Dream Hunter (Dark-Hunter #10, Dream-Hunter #1)",4.06
The Cellist of Sarajevo,4.02
"If I Were You (Inside Out, #1)",4.14
"A Kiss of Shadows (Merry Gentry, #1)",4.01
"Flaskepost fra P (Afdeling Q, #3)",4.04
Mystic River,4.19
The Memoirs of Cleopatra,4.17
EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,4.19
The Once and Future King (The Once and Future King #1-4),4.08
"Maid-sama! Vol. 01 (Maid-sama!, #1)",4.4
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",4.19
"Be Careful What You Wish For (The Clifton Chronicles, #4)",4.04
"Heartless (Pretty Little Liars, #7)",4.1
The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,4.28
The Sign of Four,3.96
"Cause of Death (Kay Scarpetta, #7)",3.93
"First Lord's Fury (Codex Alera, #6)",4.37
Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,4.34
"Linger (The Wolves of Mercy Falls, #2)",3.91
The Forgotten Garden,4.12
Emmy & Oliver,3.91
The Art of Loving,4.01
"A Discovery of Witches (All Souls Trilogy, #1)",3.99
"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",4.49
No Rest for the Wicked (Immortals After Dark #3),4.3
The Complete Stories and Poems,4.37
The Complete Stories and Poems,4.34
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,4.29
"Lover Revealed (Black Dagger Brotherhood, #4)",4.3
"Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",3.99
"Vampire, Interrupted (Argeneau #9)",4.32
A Little History of the World,4.1
Oz: The Wonderful Wizard of Oz,4.08
Saving June,3.97
Curious George Rides a Bike,4.24
The Atonement Child,4.26
The Blood of Flowers,3.95
The Orange Girl,3.91
"The First Commandment (Scot Harvath, #6)",4.22
Essential Tales and Poems,4.35
The Snow Child,3.95
Flush,3.86
Dog on It (A Chet and Bernie Mystery #1),3.85
"Fire Burn and Cauldron Bubble (Jolie Wilkins, #1)",3.85
"Gödel, Escher, Bach: An Eternal Golden Braid",4.3
The Rose Garden,4.01
"Bleach, Volume 01",4.21
Scorpia Rising (Alex Rider #9),4.29
"The Hedge Knight (The Hedge Knight Graphic Novels, #1)",4.11
"Heaven and Earth (Three Sisters Island, #2)",4.13
Suzanne's Diary for Nicholas,4.16
"The Six Sacred Stones (Jack West Jr, #2)",4.16
"Perfect Chemistry (Perfect Chemistry, #1)",4.07
Fireproof,4.47
"Babylon's Ashes (The Expanse, #6)",4.18
Tough Customer (Mitchell & Associates #2),3.95
Beyond the Grave (The 39 Clues #4),3.92
"Boys Over Flowers: Hana Yori Dango, Vol. 1 (Boys Over Flowers, #1)",4.12
"The Mime Order (The Bone Season, #2)",4.2
The Far Pavilions,4.2
What We Talk About When We Talk About Love,4.22
The Adventures of Tom Sawyer,3.89
"Dandelion Wine (Green Town, #1)",4.08
"The Young Elites (The Young Elites, #1)",3.93
"Shadows of Self (Mistborn, #5)",4.3
"Blood Brothers (Sign of Seven, #1)",4.15
"All Together Dead (Sookie Stackhouse, #7)",4.05
"Skippyjon Jones in Mummy Trouble (Skippyjon Jones, #3)",4.25
The Revenge of the Baby-Sat,4.71
"The Law of Moses (The Law of Moses, #1)",4.37
"That Was Then, This Is Now",3.89
Chesapeake,4.14
"Eragon, Eldest & Brisingr (Inheritance, #1-3)",4.2
HHhH,4.07
"Akira, Vol. 1",4.36
Wolverine: Origin,3.96
"The Absent One (Department Q, #2)",3.85
The Forty Rules of Love,4.17
"The Perfect Play (Play by Play, #1)",3.93
"Anne of Avonlea (Anne of Green Gables, #2)",4.21
"The Never War (Pendragon, #3)",4.12
"Left Behind (Left Behind, #1)",3.81
"Prodigal Son (Dean Koontz's Frankenstein, #1)",4.01
"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",4.44
His Dark Materials (His Dark Materials #1-3),4.25
"Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)",4.43
The Hound of the Baskervilles,4.09
Me & Emma,3.9
"Forest of Secrets (Warriors, #3)",4.4
"Angel (Maximum Ride, #7)",4.02
"Moon Over Soho (Peter Grant, #2)",4.1
The Last Wife of Henry VIII,3.88
Tales of the South Pacific,4.03
ABNKKBSNPLAKo?! (Mga Kwentong Chalk ni Bob Ong),4.2
"Half-Blood (Covenant, #1)",4.16
An Astronaut's Guide to Life on Earth,4.14
"The Edge of Always (The Edge of Never, #2)",4.02
"The Adventures of Ook and Gluk, Kung-Fu Cavemen from the Future",4.13
"7th Heaven (Women's Murder Club, #7)",4.06
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,4.04
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",3.89
"Hot Ticket (Sinners on Tour, #3)",4.28
"Forever My Girl (The Beaumont Series, #1)",4.04
في قلبي أنثى عبرية,4.04
"Preacher, Volume 9: Alamo",4.33
"The Likeness (Dublin Murder Squad, #2)",4.05
Winter of the World (The Century Trilogy #2),4.29
"The Firm (Penguin Readers, Level 5)",3.99
"Waylander (The Drenai Saga, #3)",4.26
"Separation of Power (Mitch Rapp, #5)",4.32
The Naked and the Dead,3.94
"Seize the Night (Moonlight Bay, #2)",4.07
Boy: Tales of Childhood,4.09
"Wool Omnibus (Silo, #1)",4.24
Discipline and Punish: The Birth of the Prison,4.21
"Out of the Silent Planet (Space Trilogy, #1)",3.92
The Cat in the Hat and Other Dr. Seuss Favorites,4.41
Remember Me,3.91
"11 Birthdays (Willow Falls, #1)",4.18
The Millionaire Mind,4.15
"Lover Avenged (Black Dagger Brotherhood, #7)",4.38
"Thinking, Fast and Slow",4.08
Magician: Apprentice  (Raymond E. Feist's Magician: Apprentice #1),4.44
The Bad Place,3.86
"Odd Thomas (Odd Thomas, #1)",3.94
The Hating Game,4.24
The America's Test Kitchen Family Cookbook,4.31
The Iliad,3.83
"The Emerald Atlas (The Books of Beginning, #1)",3.92
"It Had to Be You (Chicago Stars, #1)",4.04
"My Soul to Save (Soul Screamers, #2)",3.98
"On Dublin Street (On Dublin Street, #1)",4.24
Innocent Traitor,3.94
"Forever Odd (Odd Thomas, #2)",3.96
"The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time",3.81
"Debt of Honor (Jack Ryan Universe, #8)",4.03
"The Great Shark Hunt: Strange Tales from a Strange Time (The Gonzo Papers, #1)",4.07
"Wild Seed (Patternmaster, #1)",4.22
So B. It,4.1
Diary of a Worm,4.19
How to Talk to a Widower,3.97
American Sphinx: The Character of Thomas Jefferson,3.9
Food Rules: An Eater's Manual,3.99
Brave New World Revisited ,3.93
"Princess of Glass (The Princesses of Westfalin Trilogy, #2)",4.03
"The Killing (Cherub, #4)",4.12
Infinite Jest,4.31
The Adventures of Tom Sawyer & Adventures of Huckleberry Finn,4.07
"Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Heart of His People",4.24
"Batman, Volume 3: Death of the Family",4.33
Live Wire (Myron Bolitar #10),4.07
"The Seeing Stone (The Spiderwick Chronicles, #2)",3.87
"Click, Clack, Moo: Cows That Type",4.23
"Mistral's Kiss (Merry Gentry, #5)",4.03
"204 Rosewood Lane (Cedar Cove, #2)",4.15
"The Elite (The Selection, #2)",4.02
"The Wicked + The Divine, Vol. 1: The Faust Act",3.9
Caim,3.89
The Great Divorce,4.28
"Ever After (Lost Love, #2)",4.31
90 Minutes in Heaven: A True Story of Death and Life,3.91
Blackmoore,4.17
"How to Train Your Dragon (How to Train Your Dragon, #1)",3.85
"Healthy Sleep Habits, Happy Child",3.9
"The Prefect (Prefect Dreyfus Emergency, #1)",4.15
"Fragments (Partials Sequence, #2)",4.12
"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",4.15
Evicted: Poverty and Profit in the American City,4.48
"End of Days (Penryn & the End of Days, #3)",4.1
If You Take a Mouse to the Movies,4.16
On Writing: A Memoir of the Craft,4.31
The Heart is a Lonely Hunter,3.97
"The Illearth War (The Chronicles of Thomas Covenant the Unbeliever, #2)",3.99
Earth Abides,3.96
The Four Loves,4.16
The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime),4.4
"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",4.06
Dance with the Devil (Dark-Hunter #3),4.39
Rant,3.82
"Black Water (Pendragon, #5)",4.16
Long Lost  (Myron Bolitar #9),3.94
It Chooses You,3.88
Gravity's Rainbow,4.03
"A Storm of Swords: Blood and Gold (A Song of Ice and Fire, #3: Part 2 of 2)",4.56
"The Gray Wolf Throne (Seven Realms, #3)",4.39
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",4.09
"John Dies at the End (John Dies at the End, #1)",3.92
"Flyte (Septimus Heap, #2)",3.99
Desolation Angels,3.92
"Beyond Exile (Day by Day Armageddon,# 2)",4.08
Roller Girl,4.27
The Help,4.45
Kon-Tiki: Across The Pacific In A Raft,4.1
"The Atrocity Archives (Laundry Files, #1)",3.95
"Saint (Paradise, #2)",4.04
The Outsiders,4.06
"Midnight Awakening (Midnight Breed, #3)",4.25
"The Millennium Trilogy (Millennium Trilogy, #1-3)",4.46
Everything's Eventual: 14 Dark Tales,3.94
Dark Desires After Dusk (Immortals After Dark #6),4.38
"The Bone Collector (Lincoln Rhyme, #1)",4.18
"Brisingr (The Inheritance Cycle, #3)",4.03
Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype,4.15
The Nose,3.92
Steel Magnolias (DPS Acting Edition),4.24
Daun Yang Jatuh Tak Pernah Membenci Angin,3.97
"The Glass Magician (The Paper Magician Trilogy, #2)",3.87
"Graduation Day (The Testing, #3)",3.81
Chrysanthemum,4.31
"Tempted (House of Night, #6)",3.96
"Zero Day (John Puller, #1)",3.99
Cradle to Cradle: Remaking the Way We Make Things,4.1
The Eyes of the Dragon,3.92
"The Mighty Storm (The Storm, #1)",4.19
Summerland,3.85
Flow: The Psychology of Optimal Experience,4.1
"Dead as a Doornail (Sookie Stackhouse, #5)",4.01
House of Suns,4.19
"Cry Wolf (Alpha & Omega, #1)",4.11
"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",4.22
The Missing Piece Meets the Big O ,4.32
The Going-To-Bed Book,4.22
Orphan Train,4.14
We Never Asked for Wings,3.82
"My Father's Dragon (My Father's Dragon, #1)",4.09
"Perfect Scoundrels (Heist Society, #3)",4.28
The Second Sex,4.09
Einstein: His Life and Universe,4.08
The Good Girl,3.81
"The Wheel of Time: Boxed Set #1 (Wheel of Time, #1-3)",4.43
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,3.92
Bel Canto,3.92
Little Brother,3.94
"The Duchess War (Brothers Sinister, #1)",3.82
"Bloodlines (Bloodlines, #1)",4.22
Love Is a Dog from Hell,4.16
"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",3.86
The Android's Dream,3.97
ماهی سیاه کوچولو,4.11
"Truthwitch (The Witchlands, #1)",3.93
"Outcast of Redwall (Redwall, #8)",3.9
The Rescue,4.1
"The Apprentice (Rizzoli & Isles, #2)",4.14
"Mary, Mary (Alex Cross, #11)",3.93
"A Breath of Snow and Ashes (Outlander, #6)",4.43
"Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks (Jesus Freaks, #1)",4.2
Alice's Adventures in Wonderland & Through the Looking-Glass,4.06
"The Black Circle (The 39 Clues, #5)",4.0
"Magic Rises (Kate Daniels, #6)",4.49
Wir Kinder vom Bahnhof Zoo,4.16
"Will You Please Be Quiet, Please?",4.29
"Jimmy Corrigan, the Smartest Kid on Earth",4.1
"The Walking Dead, Vol. 08: Made to Suffer",4.47
Family Matters,3.99
"The Dragon Heir (The Heir Chronicles, #3)",4.14
The Thief Lord,3.95
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",3.95
Absolute Power,4.15
Garlic and Sapphires: The Secret Life of a Critic in Disguise,3.92
The Fry Chronicles (Memoir #2),3.87
"A Shadow of Light (A Shade of Vampire, #4)",4.1
The Love Dare,4.37
"Of Triton (The Syrena Legacy, #2)",4.0
"Grit: Passion, Perseverance, and the Science of Success",4.08
"Checkmate (Neighbor from Hell, #3)",4.15
Cape Fear,4.07
"The Stainless Steel Rat (Stainless Steel Rat, #4)",3.93
"Gregor the Overlander (Underland Chronicles, #1)",3.99
Stolen: A Letter to My Captor,3.93
"Twice Bitten (Chicagoland Vampires, #3)",4.23
"Living Buddha, Living Christ",4.13
"Unwind (Unwind, #1)",4.18
"The Opportunist (Love Me with Lies, #1)",4.22
